2026-05-11 20:28:16.196 [INFO ] [SimulatorEngine] t=    0ms | speed=20.00m/s | mode=CRUISING   | threat=NONE       | result=null         | attempts=0
2026-05-11 20:28:16.203 [INFO ] [SimulatorEngine] t=   10ms | speed=20.00m/s | mode=CRUISING   | threat=NONE       | result=null         | attempts=0
2026-05-11 20:28:16.204 [INFO ] [SimulatorEngine] t=   20ms | speed=20.00m/s | mode=CRUISING   | threat=NONE       | result=null         | attempts=0
2026-05-11 20:28:16.204 [INFO ] [SimulatorEngine] t=   30ms | speed=20.00m/s | mode=CRUISING   | threat=NONE       | result=null         | attempts=0
2026-05-11 20:28:16.207 [INFO ] [SimulatorEngine] t=   40ms | speed=20.00m/s | mode=CRUISING   | threat=NONE       | result=null         | attempts=0
2026-05-11 20:28:16.207 [INFO ] [SimulatorEngine] t=   50ms | speed=20.00m/s | mode=CRUISING   | threat=NONE       | result=null         | attempts=0
2026-05-11 20:28:16.208 [INFO ] [SimulatorEngine] t=   60ms | speed=20.00m/s | mode=CRUISING   | threat=NONE       | result=null         | attempts=0
2026-05-11 20:28:16.208 [INFO ] [SimulatorEngine] t=   70ms | speed=20.00m/s | mode=CRUISING   | threat=NONE       | result=null         | attempts=0
2026-05-11 20:28:16.208 [INFO ] [SimulatorEngine] t=   80ms | speed=20.00m/s | mode=CRUISING   | threat=NONE       | result=null         | attempts=0
2026-05-11 20:28:16.209 [INFO ] [SimulatorEngine] t=   90ms | speed=20.00m/s | mode=CRUISING   | threat=NONE       | result=null         | attempts=0
2026-05-11 20:28:16.209 [INFO ] [SimulatorEngine] t=  100ms | speed=20.00m/s | mode=CRUISING   | threat=NONE       | result=null         | attempts=0
2026-05-11 20:28:16.210 [INFO ] [SimulatorEngine] t=  110ms | speed=20.00m/s | mode=CRUISING   | threat=NONE       | result=null         | attempts=0
2026-05-11 20:28:16.210 [INFO ] [SimulatorEngine] t=  120ms | speed=20.00m/s | mode=CRUISING   | threat=NONE       | result=null         | attempts=0
2026-05-11 20:28:16.210 [INFO ] [SimulatorEngine] t=  130ms | speed=20.00m/s | mode=CRUISING   | threat=NONE       | result=null         | attempts=0
2026-05-11 20:28:16.211 [INFO ] [SimulatorEngine] t=  140ms | speed=20.00m/s | mode=CRUISING   | threat=NONE       | result=null         | attempts=0
